review_id,product_category,timestamp,country,rating,review,sentiment
86,Food & Grocery,1/1/2023,ES,5,Me ha sorprendido gratamente. Muy buena compra.,positive
87,Sports,1/1/2023,DE,3,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.!,positive
88,Fashion,1/1/2023,DE,4,Wunderbar! Genau was ich gesucht habe.,positive
89,Food & Grocery,1/1/2023,US,5,This is genuinely one of the best products I have bought online.,positive
90,Fashion,1/1/2023,DE,4,"Solide, aber unremarkabel. WÃ¼rde ich nicht unbedingt empfehlen.",neutral
91,Sports,1/1/2023,GB,4,Outstanding customer experience from start to finish.,positive
92,Books,1/1/2023,GB,2,Terrible experience. The item arrived broken and support was useless.,negative
93,Home & Living,1/1/2023,FR,5,"Belle qualitÃ©, prix raisonnable. TrÃ¨s bonne expÃ©rience d'achat.",positive
94,Toys,1/1/2023,US,4,Absolutely love this product! Best purchase I've made this year.,positive
95,Electronics,1/1/2023,AU,5,"Superb quality, very sturdy and well-made. Five stars.",positive
96,Toys,1/1/2023,DE,3,"Brauchbar, aber nichts BESONDERES. Drei Sterne. â­",neutral
97,Books,1/2/2023,FR,4,"TrÃ¨s bon produit, fonctionne parfaitement. MERCI!",positive
98,Books,1/2/2023,US,5,Perfect gift idea. Delivery was speedy and packaging was great. ðŸ˜Š,positive
99,Books,1/2/2023,DE,4,Hervorragende QualitÃ¤t. WÃ¼rde ich sofort wieder kaufen.,positive
